protein,metabolite,n_pair,r,p,q,r_s,p_s,q_s,sign,abs_r,metabolite_label
SPINK1,fid_23478,9875,0.29268936724562905,2.6885560689431046e-194,3.4974150098134997e-192,0.26231063213153605,4.4677818901638695e-155,2.9324305976844604e-153,+,0.29268936724562905,Creatinine
NOMO1,fid_23536,10349,0.28616382187181233,2.977927300584724e-194,3.871768298325613e-192,0.28681124272051206,3.672304234109457e-195,4.0552301225901737e-193,+,0.28616382187181233,Triglycerides in Large LDL
ERBB2,fid_23453,10370,-0.2858818826801477,3.0182671933977906e-194,3.9235155502217065e-192,-0.2797209960851998,1.0386561259905233e-185,1.0239224870801905e-183,-,0.2858818826801477,Polyunsaturated Fatty Acids to Total Fatty Acids percentage
EPHB6,fid_23478,9787,0.2938929869349313,3.160498369385945e-194,4.107671511955472e-192,0.25741076278297803,6.687160910455259e-148,3.971518779252485e-146,+,0.2938929869349313,Creatinine
PAMR1,fid_23494,10349,0.2861020553868578,3.635027148301206e-194,4.721040157506463e-192,0.28900090761009584,2.969785461994048e-198,3.3863231136561837e-196,+,0.2861020553868578,Triglycerides in Very Large VLDL
SEMA3F,fid_23639,10283,0.2869233997356932,4.3639372864055403e-194,5.6646894655835294e-192,0.28622620922855946,4.1005474391908805e-193,4.4188468182173244e-191,+,0.2869233997356932,Phospholipids to Total Lipids in Medium HDL percentage
ADAMTS15,fid_23452,10309,-0.28652904767961407,5.08577920074896e-194,6.600512514877877e-192,-0.31672977692144344,6.2049723866645195e-239,1.1421715825161551e-236,-,0.28652904767961407,Omega-6 Fatty Acids to Total Fatty Acids percentage
SERPIND1,fid_23489,9892,0.2922005222501059,5.898248659942615e-194,7.652236412513465e-192,0.3017984860493543,2.128473788863058e-207,2.7078494884230605e-205,+,0.2922005222501059,Total Lipids in Very Large VLDL
APOF,fid_23562,9904,0.2920251740335072,6.011495943999332e-194,7.797770555040458e-192,0.41390641402827716,0,0,+,0.2920251740335072,Cholesteryl Esters in Large HDL
CCL23,fid_23499,10351,0.28589121536181783,6.589555887256421e-194,8.543029377901993e-192,0.2796491402781989,2.8256571982048968e-185,2.767581215984222e-183,+,0.28589121536181783,Cholesteryl Esters in Large VLDL
CPM,fid_23598,10371,0.28562224951064064,6.689868106463611e-194,8.671534522391969e-192,0.29677270902602526,6.786411617177821e-210,8.859791225283734e-208,+,0.28562224951064064,Triglycerides to Total Lipids in Medium VLDL percentage
MAMDC4,fid_23414,9877,0.292340490793057,7.408213714567323e-194,9.597539984393718e-192,0.2810663730201384,9.799604995847376e-179,8.857944740825396e-177,+,0.292340490793057,Phospholipids in HDL
SMAD1,fid_23486,10125,0.2888590995377599,8.251317555432463e-194,1.0684098385372254e-191,0.28514977648505757,1.0534438916597049e-188,1.0767096016500605e-186,+,0.2888590995377599,Free Cholesterol in Chylomicrons and Extremely Large VLDL
HS6ST1,fid_23407,10438,0.28466001815793246,8.728839117374678e-194,1.1300399836857807e-191,0.2837541931007361,1.628057043082018e-192,1.7387290880341246e-190,+,0.28466001815793246,Total Triglycerides
IL18R1,fid_23561,10432,-0.28473624025356437,8.792198545533446e-194,1.1380401015116434e-191,-0.29637601790450985,1.5632203046280324e-210,2.054449159726448e-208,-,0.28473624025356437,Cholesterol in Large HDL
