dataset,feature,beta_sex,p_sex,q_sex,p_age,q_age,R2
metabolome,fid_23455,0.07687961134362686,0.04419873138687873,0.04848230887811808,5.05305709636122e-15,8.501427141850972e-15,0.0072344117861120605
metabolome,fid_23438,-0.049653319054540485,6.31820092197929e-293,5.618685819903011e-292,2.3223207866969617e-27,9.47963730963186e-27,0.13580679716401267
metabolome,fid_23400,-0.4720824864068949,9.43802161248865e-147,3.5075632559845876e-146,2.7380602930537033e-29,1.3635540259407443e-28,0.07766023846965686
metabolome,fid_23401,-0.20425112686067323,1.1162390533736305e-34,1.7371470268127124e-34,7.870645746408535e-27,3.0150627551626545e-26,0.027861993230031246
metabolome,fid_23436,-0.2762836828720675,7.281998067875304e-281,5.666304746565471e-280,2.9827339560466256e-32,1.8114652562331947e-31,0.1324877224302744
metabolome,fid_23464,0.04158076218946284,3.371542433010207e-140,1.2166870519123792e-139,0.008782356230076647,0.009305560431017384,0.06118709552863699
metabolome,fid_23427,-0.001642733425590241,5.1335656688748e-265,3.7595819163230155e-264,1.1023105269747115e-19,2.17837556521193e-19,0.12146971058865719
metabolome,fid_23415,-0.35543159534004437,8.977509149336528e-162,3.991785318187135e-161,9.136689467505241e-29,4.375068610401548e-28,0.08375428669750651
metabolome,fid_23442,-0.41298692304410195,1.6893732058459691e-19,2.336966268086924e-19,5.205061150579109e-36,5.184240905976793e-35,0.024621577481346968
metabolome,fid_23419,-0.11665104745779897,4.910861679263685e-108,1.421865765275183e-107,1.2824994866433768e-29,6.770982050859777e-29,0.061292916683881815
metabolome,fid_23482,0.0818174419144129,6.750269573932375e-100,1.7692811830622751e-99,2.070053009311183e-4,2.3218162131463272e-4,0.04499216442169496
metabolome,fid_23426,-0.5240820254107036,0,0,4.418843670921378e-13,6.920075937480649e-13,0.18384912597788805
metabolome,fid_23524,-0.149035986009069,7.053889819998292e-153,2.879374697015696e-152,2.4083641510708034e-28,1.0903321338484183e-27,0.07977189636459614
metabolome,fid_23425,-0.11676567957226398,3.588725911273189e-23,5.195306697133861e-23,5.0517935575162515e-27,1.9654634309711665e-26,0.022743492058604486
metabolome,fid_23559,-0.2747437134084213,0,0,1.4939265184569982e-4,1.7221652921101506e-4,0.19374245602100182
metabolome,fid_23531,-0.11082316142359351,1.0719383473829136e-50,1.8665220174709476e-50,7.52796224843889e-28,3.2885308769496206e-27,0.035549122997956206
metabolome,fid_23496,0.06664365576825852,5.0447228104423144e-89,1.1630888701853113e-88,5.665341066460807e-10,7.837055141937449e-10,0.04222281020878427
metabolome,fid_23423,-0.576916126591938,1.5797813691779853e-72,3.198093991262751e-72,1.1251952842146779e-32,7.004340644236369e-32,0.04699049129777044
metabolome,fid_23566,-0.158121449737198,2.401409e-316,2.299810913e-315,3.1417445431975265e-14,5.0470605887495747e-14,0.13850250101498318
metabolome,fid_23538,-0.004044116022810145,0.2124720870369502,0.22357308876167853,4.747126711789611e-24,1.2442468960374875e-23,0.01123438014564404
metabolome,fid_23503,0.023832383895238857,2.780607453124e-9,3.377420760135981e-9,1.8268632062150586e-18,3.3946935697578326e-18,0.01141023401725716
metabolome,fid_23573,-0.029169053838052895,2.260313969408483e-22,3.2345872320845533e-22,7.07683584590345e-18,1.295685386492617e-17,0.01775841459390526
metabolome,fid_23545,-0.0018978505610179833,0.13958766533812,0.14853559260338411,1.6684948419816384e-24,4.56544193025745e-24,0.011529368926756711
metabolome,fid_23510,0.01765765145517756,2.5855962840949103e-12,3.2515832057557206e-12,1.5761701454268856e-24,4.391765097096568e-24,0.01546277952903019
metabolome,fid_23424,0.2129629884300222,3.2978625603381825e-38,5.263896009770561e-38,2.7112496303340216e-15,4.655870054849458e-15,0.02247961091795636
metabolome,fid_23552,-0.06204790203367742,0,0,0.008939295108182223,0.009431713906514295,0.16273573701408173
metabolome,fid_23489,0.054034680110496,3.3049234568608925e-101,9.043142206135849e-101,6.018545255063411e-9,8.057084776939728e-9,0.047180901271745124
metabolome,fid_23517,-0.031022665493747974,1.8629557026074322e-71,3.711007759594005e-71,5.069355585059671e-37,5.4881284377385136e-36,0.04797902924013764
metabolome,fid_23411,-0.2830718691857554,8.822592938322421e-219,5.492064104105707e-218,1.0198523311440005e-35,9.069401087673433e-35,0.10929161254843289
metabolome,fid_23407,0.17823509555742056,3.518543616729485e-61,6.587348575681518e-61,7.270404998758379e-16,1.2659656256579275e-15,0.03296343267432145
metabolome,fid_23487,0.05278411517843006,8.966921322885409e-101,2.400820870320932e-100,7.979405599295869e-4,8.791469000994121e-4,0.0451263664390652
metabolome,fid_23410,-9.99022393604819e-4,0.26174679297574976,0.27269854163582297,1.6672992419321773e-39,2.3064306180061787e-38,0.01801822387107388
metabolome,fid_23529,-0.0021048402052304075,1.89062701460449e-5,2.2205949369647077e-5,1.072009861947456e-47,2.9658939513879617e-46,0.023424049742202357
metabolome,fid_23409,0.002571451354575239,8.206027840814334e-4,9.416133328860688e-4,2.9821566486685625e-38,3.908194765886695e-37,0.018271926847471365
metabolome,fid_23564,-0.005496934978947444,8.55679583011734e-128,2.803476528551602e-127,1.4143026185072974e-46,3.52161352008317e-45,0.0742232842769861
metabolome,fid_23536,-4.250304005463906e-4,0.375995053367018,0.38847621696426343,2.0332505958449825e-44,4.218994986378339e-43,0.020206109710476317
metabolome,fid_23501,0.036620950673654465,1.7498470645866416e-99,4.538665823771602e-99,5.173792853979284e-8,6.640589797117742e-8,0.04601264010104689
metabolome,fid_23571,-7.053647545190284e-4,0.04961060381668277,0.05394340764346729,4.43446895436891e-36,4.6007615401577437e-35,0.0167280067407809
metabolome,fid_23543,0.001570947052955908,3.979659264875589e-16,5.327608370720546e-16,9.271795285592942e-32,5.496850062172959e-31,0.020444931520279486
metabolome,fid_23508,0.03653239910711043,8.902199204705533e-63,1.7051135399782138e-62,6.856397935441684e-13,1.0538537567438145e-12,0.032134832666259605
metabolome,fid_23578,0.005742763687144622,1.2120718454699026e-68,2.3764243269449274e-68,8.678503853484835e-25,2.5127296040903763e-24,0.04028057761838255
metabolome,fid_23550,0.0014256505098868685,9.106210363186267e-41,1.4819910983224708e-40,1.585843343302026e-19,3.1092519093086966e-19,0.025673238119661823
metabolome,fid_23515,0.01699567572047752,1.0114290151928994e-50,1.77356214635938e-50,4.504922591116885e-25,1.3848465743063015e-24,0.03250823674516301
metabolome,fid_23408,0.17876741625731307,6.697232190151909e-87,1.4628165046910748e-86,7.794004394619196e-11,1.1217960082428784e-10,0.04189180714905483
metabolome,fid_23557,-5.395037778632007e-4,1.0131632651446717e-26,1.5016526965537098e-26,2.1534232276858984e-35,1.6374109482386242e-34,0.02717364070995354
metabolome,fid_23494,0.03461175064226121,1.4179321940093326e-113,4.2537965820279977e-113,1.7107231143010204e-8,2.241947660320811e-8,0.05245282050915978
metabolome,fid_23522,0.0012225097872569878,0.0023021810048712904,0.002605650319149779,1.286690961234198e-43,2.288471781052252e-42,0.020549608526686414
