protein,metabolite,r,p,q,r_s,p_s,q_s,sign,abs_r
LPL,fid_23554,0.4092158168353549,0,0,0.43208598047391283,0,0,+,0.4092158168353549
MXRA8,fid_23554,0.4797832067093416,0,0,0.48883739049969316,0,0,+,0.4797832067093416
PLTP,fid_23554,0.5327050919962336,0,0,0.556493127414831,0,0,+,0.5327050919962336
PON3,fid_23554,0.429217442898057,0,0,0.4951113928213138,0,0,+,0.429217442898057
PRAP1,fid_23554,-0.4476832797040817,0,0,-0.4718370047962724,0,0,-,0.4476832797040817
PRSS8,fid_23554,-0.3786664149722848,0,0,-0.41182097575454224,0,0,-,0.3786664149722848
RTN4R,fid_23554,-0.4031263890360935,0,0,-0.432063705251196,0,0,-,0.4031263890360935
SERPINF1,fid_23554,-0.40543111213900396,0,0,-0.4269228937735388,0,0,-,0.40543111213900396
SHBG,fid_23554,0.41718691989360374,0,0,0.44856789874658604,0,0,+,0.41718691989360374
SSC4D,fid_23554,-0.4264438123197165,0,0,-0.4625179004349131,0,0,-,0.4264438123197165
AGRP,fid_23491,0.43582208778647635,0,0,0.437598111484393,0,0,+,0.43582208778647635
APCS,fid_23491,0.3867573283089142,0,0,0.39962981549722687,0,0,+,0.3867573283089142
CCN1,fid_23491,0.38802743303317005,0,0,0.38077910338630644,0,0,+,0.38802743303317005
LCAT,fid_23491,0.37512169689965363,0,0,0.38572782511991405,0,0,+,0.37512169689965363
LDLR,fid_23491,0.6696963927951011,0,0,0.6794886554909254,0,0,+,0.6696963927951011
MFGE8,fid_23491,0.39878552395279143,0,0,0.38908984815149655,0,0,+,0.39878552395279143
NPY,fid_23491,0.4250340492089737,0,0,0.4322744007163334,0,0,+,0.4250340492089737
PLA2G7,fid_23491,0.4503889846409971,0,0,0.4637043919916975,0,0,+,0.4503889846409971
FGFBP1,fid_23519,0.4891529189121427,0,0,0.49103670732826843,0,0,+,0.4891529189121427
PLA2G7,fid_23519,0.4441161970029504,0,0,0.450183795235302,0,0,+,0.4441161970029504
LDLR,fid_23610,-0.3859604313996641,0,0,-0.3614910569450683,2.9841580710494e-311,6.9207996009538e-309,-,0.3859604313996641
MFGE8,fid_23610,-0.39563641089321133,0,0,-0.3485310607962623,5.1770124615980325e-288,9.327747011590877e-286,-,0.39563641089321133
PON3,fid_23610,0.38758896997387293,0,0,0.38494379489387487,0,0,+,0.38758896997387293
PRAP1,fid_23610,-0.37598114651859016,0,0,-0.35753929433520987,4.751706544384971e-304,1.0154918022234264e-301,-,0.37598114651859016
ACE2,fid_23635,-0.38701121760724105,0,0,-0.40538151821731216,0,0,-,0.38701121760724105
ACY1,fid_23635,-0.4314171473342107,0,0,-0.46341923166186483,0,0,-,0.4314171473342107
ADH4,fid_23635,-0.4144963989454637,0,0,-0.4466770451245848,0,0,-,0.4144963989454637
ADIPOQ,fid_23635,0.4424293807489634,0,0,0.47284987307072807,0,0,+,0.4424293807489634
ASGR1,fid_23635,-0.4288530079857326,0,0,-0.46196560375997797,0,0,-,0.4288530079857326
CDHR2,fid_23635,-0.4066662348931303,0,0,-0.4417243392555381,0,0,-,0.4066662348931303
CES1,fid_23635,-0.4297255585781412,0,0,-0.4478174045473868,0,0,-,0.4297255585781412
CPM,fid_23635,-0.4240492226949407,0,0,-0.475243887443972,0,0,-,0.4240492226949407
FURIN,fid_23635,-0.3908436871668492,0,0,-0.44259659180198074,0,0,-,0.3908436871668492
GSTA1,fid_23635,-0.3722556515407613,0,0,-0.4099790143171768,0,0,-,0.3722556515407613
GUSB,fid_23635,-0.4134908196632685,0,0,-0.4433768504830757,0,0,-,0.4134908196632685
IGFBP1,fid_23635,0.38815775495233856,0,0,0.41900781400119796,0,0,+,0.38815775495233856
IGSF9,fid_23635,-0.4807217037237151,0,0,-0.5136843009850576,0,0,-,0.4807217037237151
KRT18,fid_23635,-0.37761514378232885,0,0,-0.391610973205508,0,0,-,0.37761514378232885
LDLR,fid_23635,-0.4954693394734324,0,0,-0.5497459823157889,0,0,-,0.4954693394734324
LPL,fid_23635,0.3838648673139987,0,0,0.4150117733727947,0,0,+,0.3838648673139987
MFGE8,fid_23635,-0.42392727415439563,0,0,-0.4174976543327798,0,0,-,0.42392727415439563
MXRA8,fid_23635,0.39845953896186803,0,0,0.42297835203205225,0,0,+,0.39845953896186803
NPY,fid_23635,-0.37247254359582543,0,0,-0.3975993070697393,0,0,-,0.37247254359582543
PLAT,fid_23635,-0.3787842869173328,0,0,-0.41556407612166196,0,0,-,0.3787842869173328
PLTP,fid_23635,0.46427588290675303,0,0,0.49094634238443147,0,0,+,0.46427588290675303
PON3,fid_23635,0.4679074837239036,0,0,0.5338309149574791,0,0,+,0.4679074837239036
PRAP1,fid_23635,-0.5082186638226421,0,0,-0.5534221876256068,0,0,-,0.5082186638226421
PRSS8,fid_23635,-0.42280131740704185,0,0,-0.45326861134029256,0,0,-,0.42280131740704185
RBP5,fid_23635,-0.38590952108070375,0,0,-0.4176067647070263,0,0,-,0.38590952108070375
RTN4R,fid_23635,-0.39271609919809414,0,0,-0.428178484764091,0,0,-,0.39271609919809414
SERPINF1,fid_23635,-0.4105837588983517,0,0,-0.4391974888733581,0,0,-,0.4105837588983517
SSC4D,fid_23635,-0.37061565355887544,0,0,-0.3925658331389142,0,0,-,0.37061565355887544
UPB1,fid_23635,-0.3937938311200401,0,0,-0.4300923684716561,0,0,-,0.3937938311200401
APOM,fid_23615,0.3755299558155174,0,0,0.3674008731857154,3.26e-322,8.3957e-320,+,0.3755299558155174
