protein,module_protein,ENTREZID
MAP4K5,1,11183
MAPK9,1,5601
GABARAPL1,4,23710
MAPKAPK2,1,9261
MARS1,1,4141
MAVS,1,57506
IDI2,3,91734
KLHL41,3,10324
LIFR,3,3977
MAX,1,4149
MCEMP1,1,199675
LXN,2,56925
MCFD2,1,90411
MDH1,2,4190
CGN,1,57530
LRFN2,4,57497
LRTM1,4,57408
MDK,1,4192
MDM1,1,56890
MECR,1,51102
MCAM,3,4162
FETUB,3,26998
MAMDC4,3,158056
MANSC1,3,54682
MEGF9,3,1955
MED18,1,54797
MERTK,3,10461
MESD,1,23184
METAP1D,1,254042
MAMDC2,3,256691
LY6D,3,8581
METAP2,1,10988
MGLL,1,11343
MGMT,1,4255
MICALL2,1,79778
MIF,1,4282
MINDY1,1,55793
MINK1,1,50488
KDM3A,4,55818
MITD1,1,129531
HAVCR1,3,26762
MMP8,2,4317
LYZL2,4,119180
LYAR,2,55646
MMP9,2,4318
MMP1,1,4312
MMUT,1,4594
GFAP,3,2670
LRTM2,3,654429
EPN1,4,29924
MAPRE3,4,22924
MOCS2,1,4338
MPHOSPH8,1,54737
MPI,1,4351
MNDA,2,4332
MARCO,3,8685
MPIG6B,1,80739
LILRB2,3,10288
MRC1,3,4360
MRI1,2,84245
MRPL46,1,26589
MRPL58,1,3396
LRRN1,3,57633
MSRA,1,4482
MORC3,4,23515
MTDH,1,92140
MTHFSD,1,64779
MTIF3,1,219402
MTSS1,1,9788
GP2,5,2813
ATXN2,10,6311
MME,3,4311
MTSS2,1,92154
KITLG,3,4254
LPL,3,4023
MENT,3,NA
CAPN3,3,825
MB,3,4151
MYBPC1,3,4604
MVK,3,4598
MYCBP2,1,23077
MORF4L2,4,9643
MYDGF,1,56005
MYBPC2,3,4606
MYL3,3,4634
MYH9,1,4627
ANGPTL7,3,10218
MEGF10,3,84466
MFAP4,3,4239
MSTN,3,2660
MXRA8,3,54587
MYLPF,3,NA
MYOM2,3,9172
IGLC2,3,3538
LY96,3,23643
MYO9B,1,4650
MZT1,1,440145
NAA10,1,8260
MAN2B2,3,23324
NAA80,1,24142
MPO,2,4353
MKI67,4,4288
NACC1,1,112939
NADK,2,65220
NAGK,1,55577
MYL4,2,4635
NAP1L4,2,4676
MEPE,3,56955
MFAP5,3,8076
MIA,3,8190
NAMPT,2,10135
MYOC,3,4653
NCAM1,3,4684
MOG,3,4340
NBN,2,4683
NARS1,1,4677
NAGA,4,4668
FASLG,3,356
LTA,3,4049
NBL1,3,4681
NCR1,3,9437
LMOD1,3,25802
NCK2,1,8440
NDUFA5,1,4698
NDUFB7,1,4713
